ID,City,State,Lat,Lng,TripAdvisor Geo
267,Cedar Rapids,IA,42.00833,-91.64407,28936
350,Sioux City,IA,42.49999,-96.40031,28936
355,Waterloo,IA,42.49276,-92.34296,28936
414,Dubuque,IA,42.50056,-90.66457,28936
225,Boise,ID,43.6135,-116.20345,28933
324,Idaho Falls,ID,43.46658,-112.03414,28933
416,Pocatello,ID,42.8713,-112.44553,28933
422,Lewiston,ID,46.41655,-117.01766,28933
152,Chicago,IL,41.85003,-87.65005,28934
262,Rockford,IL,42.27113,-89.094,28934
269,Peoria,IL,40.69365,-89.58899,28934
286,Springfield,IL,39.80172,-89.64371,28934
322,Champaign,IL,40.11642,-88.24338,28934
325,Bloomington,IL,40.4842,-88.99369,28934
390,Carbondale,IL,37.72727,-89.21675,28934
406,Decatur,IL,39.84031,-88.9548,28934
419,Danville,IL,40.12448,-87.63002,28934
178,Indianapolis,IN,39.76838,-86.15804,28935
224,South Bend,IN,41.68338,-86.25001,28935
238,Fort Wayne,IN,41.1306,-85.12886,28935
287,Evansville,IN,37.97476,-87.55585,28935
316,Lafayette,IN,40.4167,-86.87529,28935
336,Bloomington,IN,39.16533,-86.52639,28935
354,Terre Haute,IN,39.4667,-87.41391,28935
397,Kokomo,IN,40.48643,-86.1336,28935
232,Wichita,KS,37.69224,-97.33754,28937
320,Topeka,KS,39.04833,-95.67804,28937
380,Manhattan,KS,39.18361,-96.57167,28937
190,Louisville,KY,38.25424,-85.75941,28938
227,Lexington,KY,37.98869,-84.47772,28938
332,Bowling Green,KY,36.99032,-86.4436,28938
400,Owensboro,KY,37.77422,-87.11333,28938
191,New Orleans,LA,29.95465,-90.07507,28939
220,Baton Rouge,LA,30.45075,-91.15455,28939
240,Lafayette,LA,30.22409,-92.01984,28939
261,Shreveport,LA,32.52515,-93.75018,28939
308,Monroe,LA,32.50931,-92.1193,28939
335,Houma,LA,29.59577,-90.71953,28939
342,Lake Charles,LA,30.21309,-93.2044,28939
364,Alexandria,LA,31.31129,-92.44514,28939
154,Boston,MA,42.35843,-71.05977,28942
229,Springfield,MA,42.10148,-72.58981,28942
386,Pittsfield,MA,42.45008,-73.24538,28942
276,Salisbury,MD,38.36067,-75.59937,28941
409,Cumberland,MD,39.65287,-78.76252,28941
237,Portland,ME,43.66147,-70.25533,28940
366,Bangor,ME,44.80118,-68.77781,28940
160,Detroit,MI,42.33143,-83.04575,28943
192,Grand Rapids,MI,42.96336,-85.66809,28943
248,Lansing,MI,42.73253,-84.55553,28943
251,Kalamazoo,MI,42.29171,-85.58723,28943
275,Saginaw,MI,43.41947,-83.95081,28943
360,Jackson,MI,42.24587,-84.40135,28943
164,Minneapolis,MN,44.97997,-93.26384,28944
298,Duluth,MN,46.78327,-92.10658,28944
310,Rochester,MN,44.02163,-92.4699,28944
393,Mankato,MN,44.16358,-93.9994,28944
170,St. Louis,MO,38.62727,-90.19789,28946
175,Kansas City,MO,39.09973,-94.57857,28946
249,Springfield,MO,37.21533,-93.29824,28946
329,Columbia,MO,38.95171,-92.33407,28946
339,Joplin,MO,37.08423,-94.51328,28946
369,Jefferson City,MO,38.5767,-92.17352,28946
378,Cape Girardeau,MO,37.30588,-89.51815,28946
233,Jackson,MS,32.29876,-90.18481,28945
277,Gulfport,MS,30.36742,-89.09282,28945
373,Hattiesburg,MS,31.32712,-89.29034,28945
359,Billings,MT,45.78329,-108.50069,28947
405,Missoula,MT,46.87215,-113.994,28947
418,Great Falls,MT,47.50024,-111.30081,28947
174,Charlotte,NC,35.22709,-80.84313,28954
183,Raleigh,NC,35.7721,-78.63861,28954
187,Greensboro,NC,36.07264,-79.79198,28954
247,Fayetteville,NC,35.05266,-78.87836,28954
258,Asheville,NC,35.60095,-82.55402,28954
270,Hickory,NC,35.73319,-81.3412,28954
290,Rocky Mount,NC,35.93821,-77.79053,28954
304,Wilmington,NC,34.22573,-77.94471,28954
344,New Bern,NC,35.10849,-77.04411,28954
349,Jacksonville,NC,34.75405,-77.43024,28954
392,Goldsboro,NC,35.38488,-77.99277,28954
317,Fargo,ND,46.87719,-96.7898,28955
396,Bismarck,ND,46.80833,-100.78374,28955
412,Grand Forks,ND,47.92526,-97.03285,28955
213,Omaha,NE,41.25861,-95.93779,28948
284,Lincoln,NE,40.8,-96.66696,28948
417,Grand Island,NE,40.92501,-98.34201,28948
203,Albuquerque,NM,35.08449,-106.65114,28952
387,Farmington,NM,36.72806,-108.21869,28952
179,Las Vegas,NV,36.17497,-115.13722,28949
243,Reno,NV,39.52963,-119.8138,28949
151,New York City,NY,40.71427,-74.00597,28953
200,Buffalo,NY,42.88645,-78.87837,28953
201,Rochester,NY,43.15478,-77.61556,28953
202,Albany,NY,42.65258,-73.75623,28953
223,Syracuse,NY,43.04812,-76.14742,28953
292,Utica,NY,43.1009,-75.23266,28953
311,Binghamton,NY,42.09869,-75.91797,28953
347,Elmira,NY,42.0898,-76.80773,28953
367,Ithaca,NY,42.44063,-76.49661,28953
395,Watertown,NY,43.97478,-75.91076,28953
165,Cleveland,OH,41.4995,-81.69541,28956
177,Columbus,OH,39.96118,-82.99879,28956
181,Cincinnati,OH,39.162,-84.45689,28956
207,Dayton,OH,39.75895,-84.19161,28956
235,Youngstown,OH,41.09978,-80.64952,28956
236,Toledo,OH,41.66394,-83.55521,28956
328,Lima,OH,40.74255,-84.10523,28956
331,Mansfield,OH,40.75839,-82.51545,28956
196,Oklahoma City,OK,35.46756,-97.51643,28957
204,Tulsa,OK,36.15398,-95.99277,28957
382,Lawton,OK,34.60869,-98.39033,28957
168,Portland,OR,45.52345,-122.67621,28958
281,Eugene,OR,44.05207,-123.08675,28958
294,Medford,OR,42.32652,-122.87559,28958
351,Bend,OR,44.05817,-121.31531,28958
155,Philadelphia,PA,39.95233,-75.16379,28959
172,Pittsburgh,PA,40.44062,-79.99589,28959
199,Harrisburg,PA,40.2737,-76.88442,28959
245,Scranton,PA,41.40916,-75.6649,28959
250,Lancaster,PA,40.03788,-76.30551,28959
279,Erie,PA,42.12922,-80.08506,28959
303,Bloomsburg,PA,41.0037,-76.45495,28959
319,State College,PA,40.79339,-77.86,28959
330,Johnstown,PA,40.32674,-78.92197,28959
363,Williamsport,PA,41.24119,-77.00108,28959
389,Altoona,PA,40.51868,-78.39474,28959
193,Greenville,SC,34.85262,-82.39401,28961
194,Greenville,SC,34.85262,-82.39401,28961
215,Columbia,SC,34.00071,-81.03481,28961
228,Charleston,SC,32.77657,-79.93092,28961
260,Myrtle Beach,SC,33.68906,-78.88669,28961
340,Florence,SC,34.19543,-79.76256,28961
345,Hilton Head Island,SC,32.21632,-80.75261,28961
407,Sumter,SC,33.92044,-80.34147,28961
318,Sioux Falls,SD,43.54997,-96.70033,28962
358,Rapid City,SD,44.08054,-103.23101,28962
184,Nashville,TN,36.16589,-86.78444,28963
195,Memphis,TN,35.14953,-90.04898,28963
206,Knoxville,TN,35.96064,-83.92074,28963
212,Chattanooga,TN,35.04563,-85.30968,28963
254,Johnson City,TN,36.31344,-82.35347,28963
300,Clarksville,TN,36.52977,-87.35945,28963
384,Jackson,TN,35.61452,-88.81395,28963
156,Dallas,TX,32.78306,-96.80667,28964
158,Houston,TX,29.76328,-95.36327,28964
180,San Antonio,TX,29.42412,-98.49363,28964
185,Austin,TX,30.26715,-97.74306,28964
208,El Paso,TX,31.75872,-106.48693,28964
217,McAllen,TX,26.20341,-98.23001,28964
252,Corpus Christi,TX,27.80058,-97.39638,28964
263,Brownsville,TX,25.90175,-97.49748,28964
266,Killeen,TX,31.11712,-97.7278,28964
271,Beaumont,TX,30.08605,-94.10185,28964
285,Lubbock,TX,33.57786,-101.85517,28964
293,Midland,TX,31.99735,-102.07791,28964
295,Longview,TX,32.5007,-94.74049,28964
297,Amarillo,TX,35.222,-101.8313,28964
302,Tyler,TX,32.35126,-95.30106,28964
305,Laredo,TX,27.50641,-99.50754,28964
306,Waco,TX,31.54933,-97.14667,28964
321,College Station,TX,30.62798,-96.33441,28964
357,Abilene,TX,32.44874,-99.73314,28964
368,Wichita Falls,TX,33.91371,-98.49339,28964
370,Texarkana,TX,33.42513,-94.04769,28964
398,Victoria,TX,28.80527,-97.0036,28964
402,San Angelo,TX,31.46377,-100.43704,28964
176,Salt Lake City,UT,40.76078,-111.89105,28965
375,Saint George,UT,37.10415,-113.58412,28965
388,Logan,UT,41.73549,-111.83439,28965
186,Virginia Beach,VA,36.85293,-75.97799,28967
198,Richmond,VA,37.55376,-77.46026,28967
289,Roanoke,VA,37.27097,-79.94143,28967
307,Lynchburg,VA,37.41375,-79.14225,28967
313,Harrisonburg,VA,38.44957,-78.86892,28967
326,Charlottesville,VA,38.02931,-78.47668,28967
352,Blacksburg,VA,37.22957,-80.41394,28967
333,Burlington,VT,44.47588,-73.21207,28966
161,Seattle,WA,47.60621,-122.33207,28968
231,Spokane,WA,47.65966,-117.42908,28968
301,Kennewick,WA,46.21125,-119.13723,28968
314,Yakima,WA,46.60207,-120.5059,28968
341,Bellingham,WA,48.75955,-122.48822,28968
404,Wenatchee,WA,47.42346,-120.31035,28968
421,Walla Walla,WA,46.06458,-118.34302,28968
182,Milwaukee,WI,43.0389,-87.90647,28972
219,Madison,WI,43.07305,-89.40123,28972
273,Appleton,WI,44.26193,-88.41538,28972
280,Green Bay,WI,44.51916,-88.01983,28972
291,Wausau,WI,44.95914,-89.63012,28972
337,Eau Claire,WI,44.81135,-91.49849,28972
381,La Crosse,WI,43.80136,-91.23958,28972
401,Sheboygan,WI,43.75083,-87.71453,28972
410,Fond du Lac,WI,43.775,-88.43883,28972
226,Huntington,WV,38.41925,-82.44515,28971
346,Morgantown,WV,39.62953,-79.9559,28971
365,Parkersburg,WV,39.26674,-81.56151,28971
374,Wheeling,WV,40.06396,-80.72091,28971
391,Beckley,WV,37.77817,-81.18816,28971
415,Cheyenne,WY,41.13998,-104.82025,28973
420,Casper,WY,42.86663,-106.31308,28973
